language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
STAVANGERSK	q_stavangersk	sharp	1396	sharp	ˈskaʁpə	sharp:B	ˈs k a ʁ p ə		ˈs k a ʁ p ə	test
STAVANGERSK	q_stavangersk	come	1446	come	ˈkɔ̀mːa	come:B	ˈk ɔ̀ mː a		ˈk ɔ̀ mː a	1
STAVANGERSK	q_stavangersk	yellow	1424	yellow	ˈɡʉːlə	yellow:A	ˈɡ ʉː l ə		ˈɡ ʉː l ə	test
STAVANGERSK	q_stavangersk	snow	784	snow	snøː	snow:B	s n øː		s n øː	4
STAVANGERSK	q_stavangersk	sing	1261	sing	ˈsʏ̀ŋːa	sing:B	ˈs ʏ̀ ŋː a		ˈs ʏ̀ ŋː a	4
STAVANGERSK	q_stavangersk	tail	1220	tail	ˈʋèːlə	tail:Ad	ˈʋ èː l ə		ˈʋ èː l ə	3
STAVANGERSK	q_stavangersk	die	1494	die	dœɪ	die:B	d œ ɪ		d œ ɪ	5
STAVANGERSK	q_stavangersk	cold	1287	cold	ˈkalːə	cold:B	ˈk a lː ə		ˈk a lː ə	1
STAVANGERSK	q_stavangersk	name	1405	name	naʋn	name:A	n a ʋ n		n a ʋ n	4
STAVANGERSK	q_stavangersk	stick	1295	stick	stɑːv	stick:D	s t ɑː v		s t ɑː v	test
STAVANGERSK	q_stavangersk	water	948	water	ˈʋatːn̩	water:B	ˈʋ a tː n̩		ˈʋ a tː n̩	5
STAVANGERSK	q_stavangersk	what	1236	what	ka	what:A	k a		k a	test
STAVANGERSK	q_stavangersk	fight	1423	fight	slɔst	fight:Q	s l ɔ s t		s l ɔ s t	2
STAVANGERSK	q_stavangersk	kill	1417	kill	ˈdʁèːba	kill:B	ˈd ʁ èː b a		ˈd ʁ èː b a	test
STAVANGERSK	q_stavangersk	root	670	root	ʁuːd	root:B	ʁ uː d		ʁ uː d	4
STAVANGERSK	q_stavangersk	two	1498	two	tuː	two:A	t uː		t uː	3
STAVANGERSK	q_stavangersk	at	1461	at	ʋeː	at:U	ʋ eː		ʋ eː	1
